price,brand,yearOfRegistration,odometer,powerPS,notRepairedDamage
1500,opel,2003,150000,75.0,no
18800,mini,2013,30000,184.0,no
50500,bmw,2012,100000,560.0,no
11000,volkswagen,2008,150000,239.0,yes
4900,fiat,2009,125000,95.0,no
600,citroen,1997,150000,90.0,yes
13950,audi,2008,125000,143.0,no
15000,mercedes_benz,1972,80000,95.0,no
21959,mercedes_benz,2011,125000,170.0,no
1700,volkswagen,2000,150000,101.0,unknown
890,fiat,1999,100000,55.0,no
11590,audi,2008,80000,120.0,no
2000,volkswagen,2000,150000,88.0,no
14000,audi,2005,150000,344.0,no
300,fiat,2000,150000,80.0,unknown
13800,sonstige_autos,1972,20000,,no
450,volkswagen,1997,150000,75.0,no
9990,audi,2007,150000,232.0,no
4699,volkswagen,2003,150000,136.0,no
2600,mitsubishi,2005,150000,75.0,no
700,peugeot,1999,150000,,no
1790,renault,2004,150000,135.0,yes
1499,smart,1999,150000,45.0,no
4490,peugeot,2009,100000,73.0,no
1490,renault,2001,150000,75.0,no
7200,audi,2008,150000,179.0,no
900,volkswagen,1999,150000,60.0,unknown
850,opel,1998,150000,75.0,no
7399,toyota,2007,125000,129.0,no
800,ford,2004,150000,131.0,unknown
999,ford,2003,150000,,unknown
17800,opel,2014,40000,,no
2650,fiat,2003,125000,103.0,no
24300,bmw,2012,150000,184.0,no
3300,fiat,2006,125000,95.0,no
1950,bmw,1996,150000,102.0,no
4200,fiat,2007,150000,160.0,yes
1150,renault,1999,150000,,no
56500,chevrolet,2012,30000,436.0,no
1600,mazda,2003,125000,80.0,no
1200,volkswagen,1993,150000,53.0,no
750,bmw,2000,150000,102.0,unknown
1850,volkswagen,2000,150000,75.0,no
4800,opel,2004,80000,90.0,no
3400,nissan,2004,125000,65.0,no
3000,peugeot,2007,150000,68.0,no
1800,bmw,1988,150000,211.0,no
11900,audi,2008,150000,179.0,no
890,kia,2002,150000,,unknown
200,fiat,1998,150000,,unknown
26300,porsche,2006,40000,245.0,no
2950,opel,2003,150000,125.0,no
15000,volkswagen,2013,150000,140.0,no
1200,ford,2000,150000,116.0,no
1600,volkswagen,1999,150000,101.0,yes
8900,porsche,1989,150000,160.0,unknown
5200,nissan,2010,40000,65.0,no
2400,opel,2001,100000,,no
4500,ford,2009,80000,,no
150,opel,1995,150000,45.0,unknown
1600,opel,1996,100000,75.0,unknown
3150,ford,2005,150000,68.0,no
32950,volkswagen,2015,10000,140.0,no
2900,toyota,1997,150000,128.0,no
300,fiat,2016,125000,,unknown
16700,audi,2008,150000,239.0,no
2400,volkswagen,1999,150000,116.0,no
8500,volkswagen,2005,150000,241.0,no
350,volkswagen,1994,150000,115.0,unknown
6950,volvo,2008,125000,136.0,no
10500,volkswagen,2006,150000,224.0,no
22490,hyundai,2014,40000,136.0,no
8500,mercedes_benz,2003,150000,,unknown
3699,volkswagen,2003,150000,,no
17200,mercedes_benz,1996,90000,231.0,no
3500,mercedes_benz,2000,150000,143.0,unknown
7100,dacia,2012,80000,75.0,no
1000,hyundai,2002,125000,75.0,no
24890,audi,2012,125000,245.0,no
7300,ford,2007,150000,136.0,no
1999,peugeot,2003,150000,75.0,no
50,renault,1997,30000,60.0,unknown
1200,chevrolet,1973,150000,250.0,no
3200,volkswagen,2002,90000,105.0,no
5200,chrysler,2007,100000,150.0,no
19990,opel,2011,125000,325.0,no
1400,ford,2004,150000,131.0,no
230,mitsubishi,1997,150000,75.0,no
15899,volkswagen,2009,150000,239.0,no
1450,volkswagen,1994,150000,75.0,no
4250,volkswagen,2016,150000,131.0,unknown
2450,ford,2001,150000,90.0,no
7900,volkswagen,2013,30000,68.0,no
1500,honda,2000,125000,75.0,no
350,audi,1995,150000,90.0,yes
400,audi,1996,150000,150.0,yes
2400,peugeot,2003,125000,109.0,no
3000,mazda,2004,150000,,no
850,opel,2001,150000,58.0,no
799,opel,1999,150000,131.0,no
8995,smart,2013,30000,84.0,no
16500,bmw,2009,150000,235.0,unknown
1470,audi,1999,5000,110.0,no
11800,bmw,2008,150000,177.0,unknown
18299,audi,2012,100000,177.0,no
1350,renault,1999,150000,75.0,unknown
12850,kia,2012,150000,197.0,no
1599,smart,2002,125000,54.0,no
2000,chrysler,2001,100000,133.0,no
300,peugeot,2000,150000,,unknown
18499,audi,2014,20000,90.0,no
7300,smart,2011,50000,71.0,unknown
1500,opel,2003,150000,58.0,yes
1000,audi,1993,150000,90.0,no
900,opel,1996,100000,115.0,no
4750,opel,2007,125000,90.0,no
500,sonstige_autos,2000,100000,,unknown
3100,volkswagen,1998,150000,75.0,no
1600,ford,1999,150000,116.0,no
18800,bmw,2011,70000,204.0,no
9850,citroen,2011,60000,111.0,no
1190,renault,2003,150000,120.0,unknown
14500,mercedes_benz,1996,150000,136.0,no
8990,volkswagen,2009,150000,160.0,no
999,audi,1997,150000,125.0,no
13990,mini,2010,80000,174.0,no
12900,mercedes_benz,2009,150000,170.0,no
3699,volkswagen,2006,150000,75.0,no
1000,opel,2016,150000,,unknown
11500,sonstige_autos,2007,100000,260.0,no
16800,mercedes_benz,2010,125000,170.0,no
2999,mercedes_benz,1998,150000,136.0,no
600,audi,1994,150000,116.0,yes
1200,bmw,2001,150000,136.0,unknown
1600,opel,1999,150000,,no
5000,volkswagen,2001,150000,90.0,no
10998,mercedes_benz,2005,125000,150.0,no
1800,audi,1997,150000,125.0,no
1250,fiat,2003,150000,60.0,unknown
2800,ford,2016,150000,109.0,unknown
8499,volkswagen,2011,150000,105.0,no
5800,bmw,2003,150000,231.0,no
1390,mercedes_benz,1999,150000,125.0,no
10990,ford,2008,150000,140.0,no
13490,bmw,2010,125000,143.0,no
400,kia,1998,150000,116.0,unknown
1650,volkswagen,1998,150000,75.0,no
580,volkswagen,1998,150000,101.0,yes
1199,nissan,2001,150000,82.0,no
649,ford,1995,125000,50.0,yes
730,daewoo,2003,150000,83.0,no
6500,bmw,2005,150000,218.0,no
500,peugeot,1998,150000,75.0,yes
21999,audi,2014,20000,185.0,no
5500,audi,2009,150000,239.0,no
1000,ford,2000,150000,115.0,unknown
12000,bmw,2004,150000,231.0,no
2950,audi,2000,150000,101.0,no
4555,toyota,2003,150000,116.0,no
12800,mazda,2009,125000,173.0,no
450,opel,1997,150000,116.0,yes
7650,suzuki,2006,150000,129.0,no
4500,suzuki,2005,150000,92.0,no
4950,opel,2005,125000,101.0,no
1250,mercedes_benz,2000,150000,101.0,no
760,ford,2005,125000,60.0,no
21500,bmw,2008,150000,286.0,no
3099,smart,2007,90000,61.0,no
3100,bmw,1998,150000,193.0,no
12990,audi,2007,150000,190.0,no
13000,volkswagen,2009,40000,150.0,no
650,opel,1999,150000,75.0,no
1200,volkswagen,1998,150000,75.0,no
600,mitsubishi,2016,150000,75.0,unknown
1,honda,2000,5000,125.0,unknown
6699,volkswagen,2005,150000,200.0,unknown
750,ford,1999,150000,,unknown
4999,volkswagen,2006,150000,75.0,no
9900,volkswagen,1999,150000,102.0,no
950,volkswagen,1996,5000,74.0,unknown
1500,ford,2005,150000,100.0,yes
3300,mercedes_benz,2003,150000,110.0,no
15500,volkswagen,2013,40000,105.0,no
1300,volkswagen,2000,150000,75.0,no
7750,seat,2012,30000,75.0,no
3000,volkswagen,2004,150000,136.0,no
1100,ford,2001,150000,95.0,no
299,sonstige_autos,1999,150000,75.0,no
2900,peugeot,2005,125000,109.0,no
3199,volkswagen,1998,60000,75.0,no
42999,mercedes_benz,2013,50000,224.0,no
5200,mercedes_benz,2006,125000,95.0,no
790,bmw,2002,150000,116.0,yes
7200,volkswagen,1967,100000,44.0,unknown
2550,volkswagen,1992,150000,95.0,no
11299,audi,2008,150000,,no
1299,opel,1998,150000,101.0,no
3200,toyota,2005,150000,,no
500,nissan,1996,125000,75.0,no
10500,volkswagen,2009,50000,,no
6000,mercedes_benz,2003,150000,109.0,no
3850,volkswagen,2016,150000,101.0,unknown
8000,bmw,2009,150000,143.0,no
2300,kia,2004,125000,65.0,no
4700,volkswagen,2006,150000,102.0,yes
950,peugeot,2002,150000,109.0,yes
150,opel,2000,150000,54.0,unknown
4900,mazda,2000,90000,110.0,no
1150,seat,2001,150000,60.0,no
1580,mercedes_benz,2002,150000,82.0,no
9700,volkswagen,2005,150000,200.0,no
4950,volkswagen,2004,150000,105.0,no
590,opel,1998,150000,116.0,no
11000,audi,2009,70000,110.0,no
7450,audi,2004,150000,140.0,no
6600,ford,2005,150000,131.0,no
3100,renault,2005,150000,150.0,no
1250,trabant,1976,60000,,unknown
15999,audi,2011,150000,239.0,no
14300,mercedes_benz,2008,150000,224.0,no
10499,audi,2007,150000,218.0,unknown
5500,volkswagen,2007,150000,131.0,yes
1150,mercedes_benz,2002,150000,95.0,yes
5200,mercedes_benz,2003,150000,143.0,no
3300,mercedes_benz,2001,150000,125.0,no
450,renault,1999,150000,90.0,no
999,opel,1998,150000,101.0,no
450,ford,2005,150000,60.0,no
17695,mini,2015,5000,102.0,no
1200,volkswagen,1999,150000,110.0,no
7499,opel,2009,150000,150.0,no
2500,ford,2004,150000,70.0,unknown
700,opel,2001,150000,147.0,unknown
699,mitsubishi,2000,150000,81.0,no
3150,opel,2007,150000,80.0,no
11200,bmw,2008,150000,177.0,no
10250,volkswagen,2009,100000,110.0,unknown
10350,volkswagen,2011,150000,140.0,no
2290,volkswagen,2005,150000,101.0,no
950,renault,2001,150000,,unknown
1750,volkswagen,2005,150000,55.0,no
4799,mercedes_benz,1999,150000,225.0,unknown
3700,ford,2006,150000,116.0,no
1750,renault,2004,150000,120.0,no
19998,audi,2012,150000,204.0,no
1999,peugeot,2003,150000,107.0,no
4900,mercedes_benz,1997,150000,122.0,yes
600,volkswagen,1990,125000,69.0,no
7800,volkswagen,2006,150000,140.0,no
2850,opel,2005,150000,90.0,no
12000,volkswagen,2010,150000,211.0,no
1000,audi,1999,5000,101.0,yes
3699,mercedes_benz,2004,150000,122.0,no
1300,seat,2005,125000,64.0,yes
23900,bmw,2011,125000,286.0,yes
500,bmw,1999,150000,102.0,yes
11500,volkswagen,2007,125000,170.0,unknown
550,ford,2002,5000,125.0,unknown
2850,bmw,1995,150000,150.0,no
550,mazda,2016,150000,,yes
590,opel,1999,150000,54.0,no
1000,volkswagen,1998,150000,101.0,yes
700,volkswagen,1997,150000,75.0,no
1050,volkswagen,1996,150000,90.0,no
33900,audi,2014,40000,204.0,no
6000,opel,2010,100000,160.0,no
750,opel,1996,150000,45.0,no
790,suzuki,1995,150000,84.0,no
599,audi,1993,150000,90.0,no
2450,volkswagen,2003,150000,54.0,no
10999,honda,2011,40000,140.0,no
42900,mercedes_benz,2010,125000,517.0,no
800,volkswagen,2016,150000,75.0,unknown
999,chrysler,2000,150000,116.0,unknown
7800,audi,2007,150000,230.0,unknown
690,volkswagen,1999,150000,60.0,no
600,volkswagen,1998,150000,75.0,no
3999,volkswagen,2003,80000,105.0,no
100,sonstige_autos,2008,30000,,unknown
52900,porsche,2012,20000,315.0,no
2000,audi,1998,125000,101.0,yes
380,opel,2000,150000,,unknown
700,opel,1998,150000,75.0,no
15900,mercedes_benz,2007,90000,163.0,no
4300,peugeot,2002,80000,136.0,no
3850,opel,2005,100000,105.0,no
5900,hyundai,2013,10000,69.0,no
1500,bmw,1994,150000,102.0,no
2100,bmw,1999,100000,105.0,no
18000,mercedes_benz,2009,70000,231.0,no
1250,volkswagen,1994,150000,55.0,no
3600,seat,2004,150000,105.0,no
3999,mitsubishi,2009,90000,75.0,no
2850,ford,2001,150000,101.0,no
400,fiat,1995,150000,60.0,no
6450,renault,2016,70000,,unknown
1500,audi,1996,150000,101.0,no
180,opel,1996,150000,75.0,no
20900,bmw,2012,150000,184.0,no
3990,volkswagen,2004,20000,,unknown
4800,opel,2005,150000,105.0,no
490,chrysler,2002,100000,1.0,no
650,sonstige_autos,1990,150000,58.0,unknown
5999,mercedes_benz,2007,150000,95.0,no
5299,volkswagen,2004,150000,105.0,no
15500,hyundai,2010,150000,184.0,unknown
5555,smart,2009,125000,45.0,no
5500,volkswagen,2007,150000,105.0,unknown
3000,volkswagen,1985,150000,,unknown
1200,mazda,2003,150000,121.0,yes
8000,bmw,2016,80000,122.0,no
12500,audi,1999,150000,370.0,unknown
150,audi,1985,150000,,unknown
490,opel,1997,150000,70.0,unknown
4500,bmw,1998,150000,170.0,unknown
13000,chevrolet,2002,125000,360.0,no
4300,volkswagen,2006,150000,105.0,unknown
2800,ford,2005,150000,155.0,no
8250,volkswagen,2006,150000,170.0,no
14490,nissan,2012,70000,131.0,no
1800,kia,2004,150000,,yes
1250,citroen,2016,150000,109.0,no
1400,renault,2001,125000,75.0,yes
2650,opel,2001,20000,,no
6900,seat,2003,150000,224.0,no
11500,mercedes_benz,2005,90000,163.0,unknown
24500,mercedes_benz,2012,40000,184.0,no
12699,audi,2009,150000,190.0,no
999999,ford,2009,125000,101.0,no
16800,volkswagen,2008,150000,131.0,no
5800,smart,2009,70000,71.0,no
14000,audi,2009,150000,211.0,no
22650,jaguar,2007,100000,258.0,no
6600,volkswagen,2016,150000,200.0,unknown
26000,bmw,2010,90000,,no
2450,audi,1999,150000,150.0,no
1400,renault,2002,125000,58.0,no
23650,mercedes_benz,2010,125000,170.0,no
7600,ford,1976,50000,101.0,no
8700,volkswagen,2004,70000,140.0,no
200,volkswagen,1996,150000,45.0,yes
14980,bmw,2006,150000,231.0,no
4200,ford,2005,150000,145.0,no
5399,volkswagen,2007,150000,80.0,no
2500,suzuki,1994,150000,80.0,no
46800,bmw,2015,10000,326.0,no
799,opel,2002,150000,75.0,yes
3900,peugeot,2002,125000,109.0,no
300,renault,1998,125000,58.0,unknown
850,volkswagen,2000,150000,60.0,no
6490,audi,1998,125000,125.0,no
2500,honda,2002,125000,83.0,no
900,ford,2001,150000,60.0,no
333,opel,1995,150000,33.0,no
500,opel,1994,150000,71.0,no
500,mercedes_benz,1998,150000,136.0,no
1099,bmw,1998,150000,170.0,unknown
13500,mercedes_benz,2005,90000,,no
1500,mazda,1997,150000,115.0,no
650,ford,2004,150000,,no
23500,mini,2013,20000,184.0,no
5499,opel,2006,40000,125.0,no
5950,mercedes_benz,2003,125000,163.0,no
9000,nissan,2007,150000,141.0,no
1650,mercedes_benz,2000,150000,125.0,no
7950,volkswagen,2006,150000,170.0,no
14500,bmw,2007,150000,231.0,no
18599,ford,2013,60000,140.0,no
3750,opel,2003,125000,147.0,no
2000,nissan,2002,150000,94.0,no
170,opel,2000,125000,,no
2499,bmw,2001,150000,192.0,unknown
940,opel,1997,125000,75.0,no
4100,bmw,1996,150000,116.0,no
2200,opel,2003,100000,102.0,no
17700,mercedes_benz,2011,70000,156.0,no
21500,volkswagen,2014,40000,211.0,no
2700,volkswagen,2001,150000,150.0,no
8500,audi,2007,150000,170.0,no
8200,opel,2006,125000,179.0,no
4000,volkswagen,2008,150000,90.0,yes
3800,opel,2005,125000,125.0,no
10000,volkswagen,2016,150000,174.0,no
5990,ford,1987,125000,150.0,no
3890,toyota,2003,125000,110.0,no
1100,volkswagen,1997,150000,75.0,no
3100,volkswagen,1996,150000,68.0,unknown
1400,bmw,1997,150000,150.0,yes
8400,porsche,1986,150000,150.0,no
250,volkswagen,1994,80000,75.0,no
4000,audi,2002,150000,163.0,no
950,peugeot,1999,150000,60.0,unknown
3250,volkswagen,2005,150000,140.0,unknown
16500,audi,2009,50000,163.0,no
850,daewoo,2004,150000,122.0,yes
1450,volkswagen,1999,150000,75.0,unknown
3300,opel,2003,150000,122.0,no
16500,volkswagen,2007,150000,174.0,no
2990,volvo,2005,150000,,unknown
599,ford,1999,150000,75.0,yes
990,ford,1997,90000,50.0,no
1800,ford,2002,150000,145.0,no
250,fiat,1997,150000,,unknown
6900,renault,2008,20000,,unknown
599,nissan,2002,150000,,unknown
3450,volkswagen,2001,150000,110.0,no
400,opel,2000,150000,95.0,unknown
900,renault,1999,150000,75.0,no
2250,fiat,2006,150000,103.0,no
8700,dacia,2011,125000,107.0,no
1150,fiat,2005,150000,,unknown
4550,subaru,2008,70000,94.0,unknown
2500,dacia,2009,60000,75.0,no
700,ford,1999,150000,116.0,no
8499,audi,2005,125000,150.0,no
600,renault,2001,150000,75.0,yes
4399,volkswagen,2003,150000,136.0,no
2900,toyota,2003,60000,85.0,no
2222,ford,2003,150000,116.0,no
22500,mercedes_benz,2011,60000,184.0,no
10499,opel,2009,150000,160.0,no
4500,smart,2008,125000,45.0,no
1200,volkswagen,2000,150000,75.0,no
14999,mercedes_benz,2008,150000,170.0,no
550,fiat,1996,150000,,yes
1700,skoda,2003,150000,75.0,no
250,suzuki,1993,125000,63.0,unknown
550,ford,1997,150000,,unknown
2050,mercedes_benz,2003,150000,163.0,no
2500,smart,2003,125000,45.0,unknown
4000,sonstige_autos,2001,150000,,unknown
1111,volkswagen,1999,150000,60.0,no
2450,mercedes_benz,1990,150000,160.0,no
4800,smart,2009,60000,82.0,no
3200,mazda,2003,150000,141.0,no
2200,volkswagen,1997,150000,101.0,no
2400,nissan,1996,150000,83.0,no
11500,audi,2007,150000,170.0,no
2199,ford,2005,150000,155.0,no
12000,mercedes_benz,2005,150000,,unknown
200,ford,1998,150000,116.0,yes
1100,volkswagen,1999,150000,75.0,unknown
2900,chevrolet,2008,70000,52.0,unknown
2850,mercedes_benz,2002,150000,163.0,no
3850,peugeot,2001,150000,133.0,no
1899,renault,2001,150000,140.0,no
350,chrysler,1999,150000,150.0,no
9000,volkswagen,2011,80000,105.0,no
1699,opel,2002,150000,130.0,no
6900,audi,2005,150000,140.0,no
2499,mercedes_benz,2001,80000,82.0,no
6499,bmw,2001,150000,231.0,no
200,volkswagen,1997,150000,50.0,unknown
26500,audi,2013,30000,150.0,no
14250,volkswagen,2013,50000,105.0,no
800,renault,2001,150000,107.0,yes
9200,ford,2014,40000,,no
500,ford,2000,150000,90.0,unknown
2550,opel,2009,150000,60.0,no
4270,volkswagen,2007,100000,64.0,no
3999,audi,2000,150000,180.0,unknown
150,opel,1997,125000,136.0,yes
6800,sonstige_autos,1991,100000,140.0,no
6600,volkswagen,2009,60000,80.0,no
5999,mercedes_benz,2003,150000,143.0,no
2250,land_rover,2000,150000,120.0,no
8900,mercedes_benz,2004,150000,150.0,no
9199,volkswagen,2006,150000,140.0,unknown
375,volkswagen,1994,150000,75.0,unknown
3999,opel,2004,150000,177.0,no
2700,volkswagen,2004,150000,,unknown
6999,bmw,2005,20000,129.0,no
2650,kia,2006,100000,65.0,no
12800,audi,2005,90000,177.0,no
13000,mitsubishi,2013,30000,117.0,no
7299,audi,2006,150000,140.0,no
500,honda,2016,150000,90.0,yes
700,mercedes_benz,1998,150000,218.0,yes
5555,chevrolet,1995,150000,275.0,no
10900,audi,2012,60000,86.0,no
6000,opel,2012,100000,114.0,no
3250,mini,2002,150000,90.0,no
8000,toyota,2010,80000,90.0,no
1400,ford,2001,150000,131.0,no
3000,ford,2006,150000,109.0,no
3500,volkswagen,2007,100000,54.0,no
800,ford,2005,150000,,yes
10499,volkswagen,2011,150000,105.0,no
999,renault,2002,150000,58.0,unknown
8699,bmw,2005,150000,,no
8290,volkswagen,2011,80000,85.0,no
5800,audi,2007,150000,140.0,unknown
7650,audi,2007,150000,102.0,no
16200,volkswagen,2006,150000,174.0,no
500,ford,1999,150000,85.0,no
18000,volkswagen,1983,150000,69.0,yes
2500,audi,2016,40000,,no
11500,mercedes_benz,2010,150000,190.0,no
400,kia,1999,150000,133.0,yes
600,audi,1989,150000,75.0,unknown
7500,bmw,2006,150000,122.0,no
8650,opel,2011,70000,120.0,unknown
15900,ford,2002,100000,256.0,no
9490,volkswagen,2011,125000,105.0,no
5750,mazda,2006,150000,147.0,no
4000,volkswagen,1999,150000,102.0,no
6100,jeep,2005,150000,163.0,no
2700,honda,2005,150000,83.0,yes
20000,bmw,1991,125000,299.0,no
3500,skoda,2004,125000,102.0,no
2600,volkswagen,2000,125000,180.0,no
1200,volkswagen,1998,150000,100.0,unknown
1800,volkswagen,2000,150000,60.0,no
350,opel,1996,150000,60.0,unknown
4199,volkswagen,2002,150000,131.0,no
6950,smart,2012,40000,54.0,no
14999,bmw,2006,150000,231.0,no
890,volkswagen,1994,150000,174.0,no
2700,mercedes_benz,1990,150000,136.0,no
2800,mercedes_benz,2006,150000,116.0,no
1800,ford,2000,150000,110.0,unknown
3299,subaru,1998,150000,122.0,no
270,renault,1998,125000,58.0,unknown
3499,suzuki,2003,150000,128.0,no
1111,volkswagen,1999,150000,60.0,yes
8500,bmw,2008,125000,122.0,no
7900,jaguar,2006,150000,207.0,no
2950,bmw,1999,150000,250.0,no
3000,bmw,2000,150000,150.0,no
2699,volkswagen,2005,150000,179.0,no
2500,mazda,1998,150000,110.0,no
149,opel,1997,150000,55.0,unknown
750,volkswagen,1998,150000,75.0,unknown
12000,renault,2011,70000,131.0,no
3800,fiat,2008,150000,120.0,no
5800,volkswagen,1997,100000,102.0,no
2300,bmw,2000,150000,193.0,no
4500,volkswagen,2004,150000,104.0,yes
2950,opel,2002,150000,125.0,unknown
980,volkswagen,1999,150000,50.0,no
3500,renault,2009,30000,75.0,unknown
3380,peugeot,2005,80000,68.0,no
300,fiat,1996,150000,60.0,no
3500,bmw,1997,150000,170.0,no
450,renault,2001,150000,,yes
799,skoda,1999,150000,75.0,unknown
70,jaguar,2015,10000,,unknown
400,mercedes_benz,1996,150000,101.0,unknown
2800,bmw,2001,150000,118.0,no
2700,audi,2001,100000,102.0,no
3300,bmw,2000,150000,170.0,no
12400,mercedes_benz,2007,50000,183.0,no
500,volkswagen,2016,150000,90.0,unknown
7499,fiat,2009,80000,69.0,no
1999,smart,2001,125000,,no
2999,volkswagen,1993,150000,110.0,no
2000,volvo,2004,150000,122.0,unknown
1500,alfa_romeo,2003,150000,116.0,no
280,ford,1999,125000,44.0,yes
14499,bmw,2007,80000,163.0,no
2999,opel,2007,150000,80.0,no
1999,honda,2000,150000,125.0,unknown
1800,fiat,2004,150000,,no
1390,peugeot,2000,150000,135.0,no
3800,volkswagen,2004,150000,131.0,no
950,opel,1998,150000,65.0,no
1850,renault,2000,125000,107.0,unknown
